ticker,profit,avg_return,start_price
CTAS,176.5557905833333,0.06367242747692949,30.24
CSCO,46.34833116666666,0.050134307585562185,15.85
C,76.31099958333333,0.0551086317174936,29.85
CFG,21.953997766666667,0.05135056408917874,23.08
CTXS,109.80721580833334,0.05601667642373128,46.743111
CLX,111.62067896666669,0.033542822359792564,66.849998
CME,221.63835399999996,0.07135391183540098,50.824001
CMS,42.12049609999999,0.04572038074212053,19.030001000000002
KO,49.213339266666715,0.03741078822994044,34.639998999999996
CTSH,58.88612693571429,0.0422495886655505,31.155001000000002
CL,62.267187950000064,0.03494878484091781,43.154999
CMCSA,48.48495508333333,0.05826355209813675,10.665
CMA,58.44796159166667,0.04807422833243965,24.799999
CAG,31.915522499999998,0.03653404414272217,18.482491
COP,23.275582313492066,0.022419189220147507,50.937992
